Area_Code,State,Country,Time_Zone
684,AS,UNITED STATES,
700,NANP area,,
701,ND,UNITED STATES,CM
702,NV,UNITED STATES,P
703,VA,UNITED STATES,E
704,NC,UNITED STATES,E
705,Ontario,CANADA,E
706,GA,UNITED STATES,E
707,CA,UNITED STATES,P
708,IL,UNITED STATES,C
709,Newfoundland,CANADA,NA
710,UNITED STATES,UNITED STATES,
712,IA,UNITED STATES,C
713,TX,UNITED STATES,C
714,CA,UNITED STATES,P
715,WI,UNITED STATES,C
716,NY,UNITED STATES,E
717,PA,UNITED STATES,E
718,NY,UNITED STATES,E
719,CO,UNITED STATES,M
720,CO,UNITED STATES,M
721,Sint Maarten,SINT MAARTEN,A
724,PA,UNITED STATES,E
727,FL,UNITED STATES,E
731,TN,UNITED STATES,C
732,NJ,UNITED STATES,E
734,MI,UNITED STATES,E
740,OH,UNITED STATES,E
747,CA,UNITED STATES,P
754,FL,UNITED STATES,E
757,VA,UNITED STATES,E
758,St. Lucia,ST. LUCIA,A
760,CA,UNITED STATES,P
762,GA,UNITED STATES,E
763,MN,UNITED STATES,C
765,IN,UNITED STATES,E
767,Dominica,DOMINICA,A
769,MS,UNITED STATES,C
770,GA,UNITED STATES,E
772,FL,UNITED STATES,E
773,IL,UNITED STATES,C
774,MA,UNITED STATES,E
775,NV,UNITED STATES,P
778,British Columbia,CANADA,P
779,IL,UNITED STATES,C
780,Alberta,CANADA,M
781,MA,UNITED STATES,E
784,St. Vincent & Grenadines,ST. VINCENT & GRENADINES,A
785,KS,UNITED STATES,CM
786,FL,UNITED STATES,E
787,Puerto Rico,UNITED STATES,A
800,NANP area,,
801,UT,UNITED STATES,M
802,VT,UNITED STATES,E
803,SC,UNITED STATES,E
804,VA,UNITED STATES,E
805,CA,UNITED STATES,P
806,TX,UNITED STATES,C
807,Ontario,CANADA,EC
808,HI,UNITED STATES,(UTC-10)
809,Dominican Republic,Dominican Republic,E
810,MI,UNITED STATES,E
812,IN,UNITED STATES,EC
813,FL,UNITED STATES,E
814,PA,UNITED STATES,E
815,IL,UNITED STATES,C
816,MO,UNITED STATES,C
817,TX,UNITED STATES,C
818,CA,UNITED STATES,P
819,Quebec,CANADA,E
828,NC,UNITED STATES,E
829,Dominican Republic,Dominican Republic,E
830,TX,UNITED STATES,C
831,CA,UNITED STATES,P
832,TX,UNITED STATES,C
843,SC,UNITED STATES,E
845,NY,UNITED STATES,E
847,IL,UNITED STATES,C
848,NJ,UNITED STATES,E
849,Dominican Republic,Dominican Republic,E
850,FL,UNITED STATES,EC
855,NANP Area,,
856,NJ,UNITED STATES,E
857,MA,UNITED STATES,E
858,CA,UNITED STATES,P
859,KY,UNITED STATES,E
860,CT,UNITED STATES,E
862,NJ,UNITED STATES,E
863,FL,UNITED STATES,E
864,SC,UNITED STATES,E
865,TN,UNITED STATES,E
866,NANP area,,
867,"Yukon, NW Terr., Nunavut",CANADA,CMP
868,Trinidad & Tobago,TRINIDAD AND TOBAGO,A
869,St. Kitts & Nevis,ST. KITTS AND NEVIS,A
870,AR,UNITED STATES,C
872,IL,UNITED STATES,C
876,Jamaica,JAMAICA,E
877,NANP area,,
878,PA,UNITED STATES,E
888,NANP area,,
900,NANP area,,
901,TN,UNITED STATES,C
902,"Nova Scotia, Prince Edward Island",CANADA,A
903,TX,UNITED STATES,C
904,FL,UNITED STATES,E
905,Ontario,CANADA,E
906,MI,UNITED STATES,EC
907,AK,UNITED STATES,(UTC-9)
908,NJ,UNITED STATES,E
909,CA,UNITED STATES,P
910,NC,UNITED STATES,E
912,GA,UNITED STATES,E
913,KS,UNITED STATES,C
914,NY,UNITED STATES,E
915,TX,UNITED STATES,CM
916,CA,UNITED STATES,P
917,NY,UNITED STATES,E
918,OK,UNITED STATES,C
919,NC,UNITED STATES,E
920,WI,UNITED STATES,C
925,CA,UNITED STATES,P
928,AZ,UNITED STATES,M
929,NY,UNITED STATES,E
931,TN,UNITED STATES,EC
936,TX,UNITED STATES,C
937,OH,UNITED STATES,E
938,AL,UNITED STATES,C
939,Puerto Rico,UNITED STATES,A
940,TX,UNITED STATES,C
941,FL,UNITED STATES,E
947,MI,UNITED STATES,E
949,CA,UNITED STATES,P
951,CA,UNITED STATES,P
952,MN,UNITED STATES,C
954,FL,UNITED STATES,E
956,TX,UNITED STATES,C
970,CO,UNITED STATES,M
971,OR,UNITED STATES,P
972,TX,UNITED STATES,C
973,NJ,UNITED STATES,E
978,MA,UNITED STATES,E
979,TX,UNITED STATES,C
980,NC,UNITED STATES,E
984,NC,UNITED STATES,E
985,LA,UNITED STATES,C
989,MI,UNITED STATES,E
