CallDate;"CallerID"
2012/02/16 00:00:00.000;"13363410500"
2012/03/08 00:00:00.000;"12152900580"
2012/03/12 00:00:00.000;"14063460620"
2012/03/15 00:00:00.000;"18572430570"
2012/02/16 00:00:00.000;"13045490880"
2012/03/09 00:00:00.000;"15043070040"
2012/03/10 00:00:00.000;"18477490100"
2012/03/14 00:00:00.000;"12085850020"
2012/03/16 00:00:00.000;"18604420290"
2012/03/16 00:00:00.000;"19546780250"
2012/03/14 00:00:00.000;"17475850960"
2012/02/15 00:00:00.000;"13187270050"
2012/03/08 00:00:00.000;"12522860700"
2012/01/07 00:00:00.000;"11460000150"
2012/02/18 00:00:00.000;"10000020150"
2012/03/05 00:00:00.000;"18455860050"
2012/03/15 00:00:00.000;"12528230430"
2012/03/05 00:00:00.000;"12185460010"
2012/03/07 00:00:00.000;"15057950250"
2012/02/21 00:00:00.000;"17082260270"
2012/02/14 00:00:00.000;"13304400630"
2012/02/17 00:00:00.000;"18143370700"
2012/03/07 00:00:00.000;"12158310540"
2012/03/08 00:00:00.000;"15132440670"
2012/02/14 00:00:00.000;"12815760400"
2012/03/12 00:00:00.000;"14144620240"
2012/02/20 00:00:00.000;"16196250880"
2012/03/06 00:00:00.000;"17152630180"
2012/03/08 00:00:00.000;"14232530420"
2012/02/21 00:00:00.000;"17406410790"
2012/03/07 00:00:00.000;"13054690870"
2012/02/16 00:00:00.000;"16108650800"
2012/03/05 00:00:00.000;"18436810020"
2012/02/21 00:00:00.000;"18018140290"
2012/03/15 00:00:00.000;"15053250130"
2012/02/18 00:00:00.000;"18083890900"
2012/02/13 00:00:00.000;"12675440300"
2012/03/09 00:00:00.000;"12694550000"
2012/03/12 00:00:00.000;"18667700400"
2012/03/05 00:00:00.000;"17164840420"
2012/03/09 00:00:00.000;"12705290240"
2012/02/21 00:00:00.000;"13306340980"
2012/03/12 00:00:00.000;"15172400720"
2012/03/05 00:00:00.000;"12156790680"
2012/03/09 00:00:00.000;"18433460360"
2012/02/15 00:00:00.000;"13345450540"
2012/03/01 00:00:00.000;"16188290000"
2012/03/13 00:00:00.000;"17149690300"
2012/03/14 00:00:00.000;"15405740880"
2012/02/21 00:00:00.000;"16199930730"
2012/03/16 00:00:00.000;"86879520580"
2012/02/27 00:00:00.000;"19507770100"
2012/02/10 00:00:00.000;"13016300860"
2012/02/24 00:00:00.000;"15028630130"
2012/02/28 00:00:00.000;"12028060870"
2012/02/20 00:00:00.000;"19095270980"
2012/03/08 00:00:00.000;"15132450750"
2012/03/12 00:00:00.000;"17858300850"
2012/03/08 00:00:00.000;"12709260050"
2012/02/23 00:00:00.000;"13144370310"
2012/03/05 00:00:00.000;"15022310000"
2012/03/16 00:00:00.000;"15012950340"
2012/03/13 00:00:00.000;"19102450900"
2012/03/14 00:00:00.000;"12092300030"
2012/03/07 00:00:00.000;"16062580130"
2012/03/14 00:00:00.000;"14097460490"
2012/03/05 00:00:00.000;"19108640390"
2012/03/03 00:00:00.000;"14042540940"
2012/02/18 00:00:00.000;"18148850550"
2012/03/05 00:00:00.000;"18183430000"
2012/02/28 00:00:00.000;"12097400330"
2012/02/24 00:00:00.000;"15043350420"
2012/03/08 00:00:00.000;"19198450390"
2012/02/28 00:00:00.000;"19163330000"
2012/03/16 00:00:00.000;"13307260170"
2012/03/05 00:00:00.000;"19062650030"
2012/03/13 00:00:00.000;"18477420050"
2012/03/03 00:00:00.000;"17738900110"
2012/03/05 00:00:00.000;"15852020820"
2012/03/12 00:00:00.000;"14844630900"
2012/03/08 00:00:00.000;"14195030530"
2012/03/07 00:00:00.000;"12023370140"
2012/03/15 00:00:00.000;"19549490290"
